catalog_rank,common_name,scientific_name,kingdom,category,priority,planned_source,notes,inat_taxon_id,observations_count,iconic_taxon_name,wikipedia_url
1,Mallard,Anas platyrhynchos,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,6930,927288,Aves,http://en.wikipedia.org/wiki/Mallard
2,Western Honey Bee,Apis mellifera,Animalia,insect,P0,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,47219,699100,Insecta,http://en.wikipedia.org/wiki/Western_honey_bee
3,Asian Lady Beetle,Harmonia axyridis,Animalia,insect,P0,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,48484,545136,Insecta,http://en.wikipedia.org/wiki/Harmonia_axyridis
4,House Sparrow,Passer domesticus,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,13858,551018,Aves,http://en.wikipedia.org/wiki/House_sparrow
5,Monarch,Danaus plexippus,Animalia,insect,P0,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,48662,490769,Insecta,http://en.wikipedia.org/wiki/Monarch_butterfly
6,Canada Goose,Branta canadensis,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,7089,469500,Aves,http://en.wikipedia.org/wiki/Canada_goose
7,Great Blue Heron,Ardea herodias,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,4956,442692,Aves,http://en.wikipedia.org/wiki/Great_blue_heron
8,American Robin,Turdus migratorius,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,12727,459445,Aves,http://en.wikipedia.org/wiki/American_robin
9,Great Egret,Ardea alba,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,144455,406237,Aves,http://en.wikipedia.org/wiki/Great_egret
10,Eastern Gray Squirrel,Sciurus carolinensis,Animalia,mammal,P0,iNaturalist species_counts,iconic_taxon=Mammalia; common species by verifiable photo observations,46017,392954,Mammalia,http://en.wikipedia.org/wiki/Eastern_gray_squirrel
11,White-tailed Deer,Odocoileus virginianus,Animalia,mammal,P0,iNaturalist species_counts,iconic_taxon=Mammalia; common species by verifiable photo observations,42223,404231,Mammalia,http://en.wikipedia.org/wiki/White-tailed_deer
12,Northern Cardinal,Cardinalis cardinalis,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,9083,377966,Aves,http://en.wikipedia.org/wiki/Northern_cardinal
13,Red-tailed Hawk,Buteo jamaicensis,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,5212,348450,Aves,https://en.wikipedia.org/wiki/Red-tailed_hawk
14,common yarrow,Achillea millefolium,Plantae,plant,P0,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,52821,325530,Plantae,http://en.wikipedia.org/wiki/Achillea_millefolium
15,House Finch,Haemorhous mexicanus,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,199840,333831,Aves,http://en.wikipedia.org/wiki/House_finch
16,European Starling,Sturnus vulgaris,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,14850,335992,Aves,http://en.wikipedia.org/wiki/Common_starling
