common_name,scientific_name,kingdom,category,priority,planned_source,notes
东北虎,Panthera tigris altaica,Animalia,mammal,P0,WCS+AmurTiger,个体重识别重点
金钱豹,Panthera pardus,Animalia,mammal,P0,WCS+SWG,大型猫科
雪豹,Panthera uncia,Animalia,mammal,P1,WCS,高山场景
亚洲黑熊,Ursus thibetanus,Animalia,mammal,P0,WCS+SWG,黑熊与棕熊区分
棕熊,Ursus arctos,Animalia,mammal,P1,WCS,大型兽类
大熊猫,Ailuropoda melanoleuca,Animalia,mammal,P1,WCS,公开数据较少需谨慎
梅花鹿,Cervus nippon,Animalia,mammal,P0,WCS,演示主类
马鹿,Cervus elaphus,Animalia,mammal,P1,WCS,与梅花鹿相似
狍,Capreolus pygargus,Animalia,mammal,P0,WCS,相似物种对比
麂,Muntiacus reevesi,Animalia,mammal,P0,SWG,亚洲森林常见
野猪,Sus scrofa,Animalia,mammal,P0,WCS+SWG,常见目标
狼,Canis lupus,Animalia,mammal,P0,WCS,犬科
赤狐,Vulpes vulpes,Animalia,mammal,P0,WCS,夜间目标
豹猫,Prionailurus bengalensis,Animalia,mammal,P0,SWG,小型猫科
亚洲金猫,Catopuma temminckii,Animalia,mammal,P1,SWG,珍稀小型猫科
猕猴,Macaca mulatta,Animalia,mammal,P0,SWG,群体行为
中华穿山甲,Manis pentadactyla,Animalia,mammal,P1,SWG,数据稀缺
豪猪,Hystrix brachyura,Animalia,mammal,P0,SWG,夜间目标
黄鼬,Mustela sibirica,Animalia,mammal,P1,WCS,小型兽类
貉,Nyctereutes procyonoides,Animalia,mammal,P1,WCS,犬科
亚洲象,Elephas maximus,Animalia,mammal,P1,WCS,大型兽类
羚牛,Budorcas taxicolor,Animalia,mammal,P1,WCS,山地场景
丹顶鹤,Grus japonensis,Animalia,bird,P0,WCS+iNaturalist,湿地重点
东方白鹳,Ciconia boyciana,Animalia,bird,P1,WCS+iNaturalist,湿地珍稀鸟
苍鹭,Ardea cinerea,Animalia,bird,P0,iNaturalist,常见水鸟
白鹭,Egretta garzetta,Animalia,bird,P0,iNaturalist,常见水鸟
朱鹮,Nipponia nippon,Animalia,bird,P1,iNaturalist,重点保护
中华秋沙鸭,Mergus squamatus,Animalia,bird,P1,iNaturalist,水鸟
红腹锦鸡,Chrysolophus pictus,Animalia,bird,P0,WCS,林下鸟类
褐马鸡,Crossoptilon mantchuricum,Animalia,bird,P1,WCS,珍稀鸟类
金雕,Aquila chrysaetos,Animalia,bird,P1,iNaturalist,猛禽
绿孔雀,Pavo muticus,Animalia,bird,P1,SWG,亚洲森林
扬子鳄,Alligator sinensis,Animalia,reptile,P1,iNaturalist,爬行动物
中华鳖,Pelodiscus sinensis,Animalia,reptile,P2,iNaturalist,水生爬行类
中华蜜蜂,Apis cerana,Animalia,insect,P2,iNaturalist,传粉昆虫
中华虎凤蝶,Luehdorfia chinensis,Animalia,insect,P1,iNaturalist,重点昆虫
银杏,Ginkgo biloba,Plantae,plant,P0,PlantNet-300K,裸子植物
水杉,Metasequoia glyptostroboides,Plantae,plant,P0,PlantNet-300K,珍稀树种
珙桐,Davidia involucrata,Plantae,plant,P0,PlantNet-300K,重点保护
桫椤,Alsophila spinulosa,Plantae,plant,P0,PlantNet-300K,木本蕨类
金花茶,Camellia nitidissima,Plantae,plant,P0,PlantNet-300K,珍稀山茶
红豆杉,Taxus chinensis,Plantae,plant,P0,PlantNet-300K,重点保护
望天树,Parashorea chinensis,Plantae,plant,P1,PlantNet-300K,热带雨林
秃杉,Taiwania cryptomerioides,Plantae,plant,P1,PlantNet-300K,珍稀针叶树
荷花,Nelumbo nucifera,Plantae,plant,P0,PlantNet-300K,湿地植物
芦苇,Phragmites australis,Plantae,plant,P0,PlantNet-300K,湿地指示
香蒲,Typha orientalis,Plantae,plant,P1,PlantNet-300K,湿地植物
睡莲,Nymphaea tetragona,Plantae,plant,P1,PlantNet-300K,水生植物
银杉,Cathaya argyrophylla,Plantae,plant,P1,PlantNet-300K,珍稀针叶树
台湾杉,Taiwania cryptomerioides,Plantae,plant,P1,PlantNet-300K,需处理同义名
华盖木,Manglietiastrum sinicum,Plantae,plant,P1,PlantNet-300K,珍稀木本
伯乐树,Bretschneidera sinensis,Plantae,plant,P1,PlantNet-300K,重点保护
连香树,Cercidiphyllum japonicum,Plantae,plant,P1,PlantNet-300K,古老树种
鹅掌楸,Liriodendron chinense,Plantae,plant,P1,PlantNet-300K,木兰类
水青树,Tetracentron sinense,Plantae,plant,P1,PlantNet-300K,古老被子植物
独叶草,Kingdonia uniflora,Plantae,plant,P1,PlantNet-300K,高山小型草本
水蕨,Ceratopteris thalictroides,Plantae,plant,P1,PlantNet-300K,湿地蕨类
野大豆,Glycine soja,Plantae,plant,P1,PlantNet-300K,作物野生近缘种
东北红豆杉,Taxus cuspidata,Plantae,plant,P1,PlantNet-300K,与红豆杉需区分
