scientific_name,category,gbif_scientific_name,gbif_class,rank,match_type,confidence,status,usage_key,trusted,issues,error
#ref!,,,,,NONE,100,,,false,,
accipiter madagascariensis,bird,"Accipiter madagascariensis J.Verreaux, 1833",Aves,SPECIES,EXACT,97,ACCEPTED,2480579,true,,
accipiter melanoleucus,bird,"Accipiter melanoleucus A.Smith, 1830",Aves,SPECIES,EXACT,99,ACCEPTED,2480631,true,,
acinonyx jubatus,mammal,"Acinonyx jubatus (Schreber, 1775)",Mammalia,SPECIES,EXACT,99,ACCEPTED,2435270,true,,
acrocephalus baeticatus,bird,"Acrocephalus baeticatus (Vieillot, 1817)",Aves,SPECIES,EXACT,99,ACCEPTED,5231319,true,,
acryllium vulturinum,bird,"Acryllium vulturinum (Hardwicke, 1834)",Aves,SPECIES,EXACT,99,ACCEPTED,2473339,true,,
aepyceros melampus,mammal,"Aepyceros melampus (Lichtenstein, 1812)",Mammalia,SPECIES,EXACT,99,ACCEPTED,2441144,true,,
agamia agami,bird,"Agamia agami (Gmelin, 1789)",Aves,SPECIES,EXACT,99,ACCEPTED,2480836,true,,
agouti paca,mammal,"Agouti paca (Linnaeus, 1766)",Mammalia,SPECIES,EXACT,98,SYNONYM,2437587,true,,
aguila,,"? aguila Anderson, 1938",Cephalopoda,UNRANKED,EXACT,96,DOUBTFUL,9251697,false,,
aguila sp,,"? aguila Anderson, 1938",Cephalopoda,UNRANKED,EXACT,96,DOUBTFUL,9251697,false,,
alcelaphus buselaphus,mammal,"Alcelaphus buselaphus (Pallas, 1766)",Mammalia,SPECIES,EXACT,99,ACCEPTED,5220185,true,,
alectoris rufa,bird,"Alectoris rufa (Linnaeus, 1758)",Aves,SPECIES,EXACT,99,ACCEPTED,2474051,true,,
alethe poliophrys,bird,"Alethe poliophrys Sharpe, 1902",Aves,SPECIES,EXACT,98,SYNONYM,2490876,true,,
alophoixus bres,bird,"Alophoixus bres (Lesson, 1831)",Aves,SPECIES,EXACT,99,ACCEPTED,2486198,true,,
alopochen aegyptiaca,bird,"Alopochen aegyptiaca (Linnaeus, 1766)",Aves,SPECIES,EXACT,99,ACCEPTED,2498252,true,,
alouatta sara,mammal,"Alouatta sara Elliot, 1910",Mammalia,SPECIES,EXACT,99,ACCEPTED,2436651,true,,
andropadus gracilirostris,bird,"Andropadus gracilirostris Strickland, 1844",Aves,SPECIES,EXACT,98,SYNONYM,2486157,true,,
andropadus latirostris,bird,"Andropadus latirostris Strickland, 1844",Aves,SPECIES,EXACT,98,SYNONYM,2486159,true,,
andropadus virens,bird,"Andropadus virens Cassin, 1857",Aves,SPECIES,EXACT,98,SYNONYM,2486160,true,,
anhima cornuta,bird,"Anhima cornuta (Linnaeus, 1766)",Aves,SPECIES,EXACT,99,ACCEPTED,2497983,true,,
anomalurus derbianus,mammal,"Anomalurus derbianus (Gray, 1842)",Mammalia,SPECIES,EXACT,99,ACCEPTED,5219879,true,,
aonyx cinerea,,"Aonyx cinereus (Illiger, 1815)",Mammalia,SPECIES,FUZZY,96,SYNONYM,2433894,false,,
aonyx sp,,,,,NONE,100,,,false,,
aquila heliaca,bird,"Aquila heliaca Savigny, 1809",Aves,SPECIES,EXACT,99,ACCEPTED,2480500,true,,
aquila rapax,bird,"Aquila rapax (Temminck, 1828)",Aves,SPECIES,EXACT,99,ACCEPTED,2480514,true,,
aramides cajanea,bird,"Aramides cajanea (Statius Muller, 1776)",Aves,SPECIES,EXACT,99,ACCEPTED,2474659,true,,
aramides cajaneus,,"Aramides cajanea (Statius Muller, 1776)",Aves,SPECIES,FUZZY,96,ACCEPTED,2474659,false,,
aramus guarauna,bird,"Aramus guarauna (Linnaeus, 1766)",Aves,SPECIES,EXACT,99,ACCEPTED,2474337,true,,
arborophila brunneopectus,bird,"Arborophila brunneopectus (Blyth, 1855)",Aves,SPECIES,EXACT,99,ACCEPTED,2473629,true,,
arborophila rubrirostris,bird,"Arborophila rubrirostris (Salvadori, 1879)",Aves,SPECIES,EXACT,99,ACCEPTED,2473646,true,,
arborophila rufogularis,bird,"Arborophila rufogularis (Blyth, 1849)",Aves,SPECIES,EXACT,99,ACCEPTED,2473614,true,,
arborophila sp,,,,,NONE,100,,,false,,
arctictis binturong,mammal,"Arctictis binturong (Raffles, 1821)",Mammalia,SPECIES,EXACT,99,ACCEPTED,2434615,true,,
arctogalidia trivirgata,mammal,"Arctogalidia trivirgata (Gray, 1832)",Mammalia,SPECIES,EXACT,99,ACCEPTED,2434742,true,,
arctonyx collaris,mammal,"Arctonyx collaris F.G.Cuvier, 1825",Mammalia,SPECIES,EXACT,99,ACCEPTED,2433743,true,,
arctonyx hoevenii,mammal,"Arctonyx hoevenii (Hubrecht, 1891)",Mammalia,SPECIES,EXACT,99,ACCEPTED,9910236,true,,
ardea alba,bird,"Ardea alba Linnaeus, 1758",Aves,SPECIES,EXACT,97,ACCEPTED,9752617,true,,
ardea cocoi,bird,"Ardea cocoi Linnaeus, 1766",Aves,SPECIES,EXACT,99,ACCEPTED,2480951,true,,
ardea melanocephala,bird,"Ardea melanocephala Children & Vigors, 1826",Aves,SPECIES,EXACT,99,ACCEPTED,2480923,true,,
ardeotis kori,bird,"Ardeotis kori (Burchell, 1822)",Aves,SPECIES,EXACT,99,ACCEPTED,2474909,true,,
areola grayii,,"Areola Walker, 1858",Insecta,GENUS,HIGHERRANK,94,SYNONYM,12063639,false,,
argusianus argus,bird,"Argusianus argus (Linnaeus, 1766)",Aves,SPECIES,EXACT,99,ACCEPTED,5227762,true,,
arremonops chloronotus,bird,"Arremonops chloronotus (Salvin, 1861)",Aves,SPECIES,EXACT,99,ACCEPTED,2491042,true,,
asio madagascariensis,bird,"Asio madagascariensis (A.Smith, 1834)",Aves,SPECIES,EXACT,99,ACCEPTED,2497287,true,,
atelerix albiventris,mammal,"Atelerix albiventris (Wagner, 1841)",Mammalia,SPECIES,EXACT,99,ACCEPTED,2437140,true,,
ateles chamek,mammal,"Ateles chamek (Humboldt, 1812)",Mammalia,SPECIES,EXACT,99,ACCEPTED,2436646,true,,
atelocynus microtis,mammal,"Atelocynus microtis (Sclater, 1883)",Mammalia,SPECIES,EXACT,99,ACCEPTED,2434454,true,,
